epoch,accuracy,loss,val_accuracy,val_loss
0,0.3813052773475647,1.5904443264007568,0.36691799759864807,1.6310570240020752
1,0.4059905707836151,1.53839111328125,0.33675894141197205,1.6948144435882568
2,0.42859724164009094,1.4851692914962769,0.3219892680644989,1.759118914604187
3,0.45530954003334045,1.4238685369491577,0.30768436193466187,1.8271598815917969
4,0.48452648520469666,1.3568648099899292,0.29167526960372925,1.9316391944885254
5,0.5117164850234985,1.2901930809020996,0.286356121301651,2.043715715408325
6,0.540830135345459,1.2210133075714111,0.2804689109325409,2.169456720352173
7,0.5680717825889587,1.1546070575714111,0.2718963027000427,2.3376388549804688
8,0.5972113013267517,1.0855661630630493,0.27039867639541626,2.412825584411621
9,0.6257569193840027,1.0119619369506836,0.26476967334747314,2.582555055618286
