epoch,accuracy,loss,val_accuracy,val_loss
0,0.23296107351779938,1.8590902090072632,0.23507539927959442,1.8567049503326416
1,0.24459363520145416,1.843833088874817,0.24282173812389374,1.849469780921936
2,0.24592344462871552,1.8411622047424316,0.24184052646160126,1.8451505899429321
3,0.24840229749679565,1.8396100997924805,0.2355918139219284,1.8541052341461182
4,0.2545994520187378,1.8360822200775146,0.24803759157657623,1.8470256328582764
5,0.2574268877506256,1.8315709829330444,0.24602355062961578,1.8504455089569092
6,0.26323673129081726,1.8260475397109985,0.2527886927127838,1.8462498188018799
7,0.27050545811653137,1.8179104328155518,0.2547510862350464,1.8466342687606812
8,0.2738364338874817,1.8105131387710571,0.2502065598964691,1.8512932062149048
9,0.2810147702693939,1.8006908893585205,0.25717827677726746,1.85111665725708
